time,open,high,low,close,volume
2024-01-01T00:00:00.000Z,100.0000,100.5654,99.4805,99.9255,1000
2024-01-01T00:15:00.000Z,99.9255,100.3699,99.3832,100.1501,1001
2024-01-01T00:30:00.000Z,100.1501,100.3925,99.9226,100.1713,1002
2024-01-01T00:45:00.000Z,100.1713,101.0517,99.7588,100.4626,1003
2024-01-01T01:00:00.000Z,100.4626,100.9786,100.0206,100.5594,1004
2024-01-01T01:15:00.000Z,100.5594,101.3133,100.1922,100.8014,1005
2024-01-01T01:30:00.000Z,100.8014,101.4737,100.4564,100.9329,1006
2024-01-01T01:45:00.000Z,100.9329,101.3105,100.4332,101.0737,1007
2024-01-01T02:00:00.000Z,101.0737,101.7006,100.8022,101.3573,1008
2024-01-01T02:15:00.000Z,101.3573,101.9457,100.9754,101.6969,1009
2024-01-01T02:30:00.000Z,101.6969,102.0618,101.4513,101.8186,1010
2024-01-01T02:45:00.000Z,101.8186,102.5033,101.5847,101.9942,1011
2024-01-01T03:00:00.000Z,101.9942,102.7180,101.6879,102.1475,1012
2024-01-01T03:15:00.000Z,102.1475,102.6167,101.8224,102.2756,1013
2024-01-01T03:30:00.000Z,102.2756,102.8354,101.9517,102.3507,1014
2024-01-01T03:45:00.000Z,102.3507,102.9004,101.8107,102.2610,1015
2024-01-01T04:00:00.000Z,102.2610,102.8595,101.8419,102.2357,1016
2024-01-01T04:15:00.000Z,102.2357,102.5372,101.5380,102.1063,1017
2024-01-01T04:30:00.000Z,102.1063,102.5155,101.8363,102.1184,1018
2024-01-01T04:45:00.000Z,102.1184,102.3898,101.8477,102.0485,1019
2024-01-01T05:00:00.000Z,102.0485,102.5684,101.7907,102.0644,1020
2024-01-01T05:15:00.000Z,102.0644,102.5611,101.4539,102.0070,1021
2024-01-01T05:30:00.000Z,102.0070,102.3697,101.4160,101.8713,1022
2024-01-01T05:45:00.000Z,101.8713,102.3150,101.4786,101.9135,1023
2024-01-01T06:00:00.000Z,101.9135,102.5212,101.5838,101.9383,1024
2024-01-01T06:15:00.000Z,101.9383,102.2900,101.6274,102.0071,1025
2024-01-01T06:30:00.000Z,102.0071,102.5970,101.7236,102.1110,1026
2024-01-01T06:45:00.000Z,102.1110,102.4285,101.3387,101.8691,1027
2024-01-01T07:00:00.000Z,101.8691,102.2116,101.4654,101.9274,1028
2024-01-01T07:15:00.000Z,101.9274,102.3711,101.5954,102.0042,1029
2024-01-01T07:30:00.000Z,102.0042,102.2864,101.3932,101.9416,1030
2024-01-01T07:45:00.000Z,101.9416,102.4131,101.3635,101.8434,1031
